fichier,n chiffres,nb de sequences
carree_1M.txt,461,999540
1 million de pi.txt,462,999540
carree_1M.txt,462,999539
1 million de pi.txt,463,999539
carree_1M.txt,463,999538
1 million de pi.txt,464,999538
carree_1M.txt,464,999537
1 million de pi.txt,465,999537
carree_1M.txt,465,999536
1 million de pi.txt,466,999536
carree_1M.txt,466,999535
1 million de pi.txt,467,999535
carree_1M.txt,467,999534
1 million de pi.txt,468,999534
carree_1M.txt,468,999533
1 million de pi.txt,469,999533
carree_1M.txt,469,999532
1 million de pi.txt,470,999532
carree_1M.txt,470,999531
1 million de pi.txt,471,999531
carree_1M.txt,471,999530
1 million de pi.txt,472,999530
carree_1M.txt,472,999529
1 million de pi.txt,473,999529
carree_1M.txt,473,999528
1 million de pi.txt,474,999528
carree_1M.txt,474,999527
1 million de pi.txt,475,999527
carree_1M.txt,475,999526
1 million de pi.txt,476,999526
carree_1M.txt,476,999525
1 million de pi.txt,477,999525
carree_1M.txt,477,999524
1 million de pi.txt,478,999524
carree_1M.txt,478,999523
1 million de pi.txt,479,999523
carree_1M.txt,479,999522
